timestamp,timestamp_ms,value
2025-05-23 06:41:28.650790+00:00,30735536,51.32
2025-05-23 06:41:43.657001+00:00,30750544,51.26
2025-05-23 06:41:58.662995+00:00,30765552,51.31
2025-05-23 06:42:13.666572+00:00,30780560,51.26
2025-05-23 06:42:28.671815+00:00,30795568,51.3
2025-05-23 06:42:43.674856+00:00,30810576,51.31
2025-05-23 06:42:58.687471+00:00,30825584,51.31
2025-05-23 06:43:13.700365+00:00,30840592,51.29
2025-05-23 06:43:28.707777+00:00,30855600,51.32
2025-05-23 06:43:43.714825+00:00,30870608,51.33
2025-05-23 06:43:58.721672+00:00,30885616,51.32
2025-05-23 06:44:13.727588+00:00,30900624,51.31
2025-05-23 06:44:28.734673+00:00,30915632,51.37
2025-05-23 06:44:43.736413+00:00,30930640,51.34
2025-05-23 06:44:58.750688+00:00,30945648,51.32
2025-05-23 06:45:13.757137+00:00,30960656,51.39
2025-05-23 06:45:28.763206+00:00,30975664,51.39
2025-05-23 06:45:43.764366+00:00,30990672,51.4
2025-05-23 06:45:58.778785+00:00,31005680,51.44
2025-05-23 06:46:13.783820+00:00,31020688,51.41
2025-05-23 06:46:28.792544+00:00,31035696,51.39
2025-05-23 06:46:43.799682+00:00,31050704,51.38
2025-05-23 06:46:58.806861+00:00,31065712,51.36
2025-05-23 06:47:13.813508+00:00,31080720,51.33
2025-05-23 06:47:28.821013+00:00,31095728,51.33
2025-05-23 06:47:43.826979+00:00,31110736,51.3
2025-05-23 06:47:58.829726+00:00,31125744,51.33
2025-05-23 06:48:13.841567+00:00,31140752,51.33
2025-05-23 06:48:28.849421+00:00,31155760,51.33
2025-05-23 06:48:43.855911+00:00,31170768,51.37
2025-05-23 06:48:58.858346+00:00,31185776,51.38
2025-05-23 06:49:13.869665+00:00,31200784,51.35
2025-05-23 06:49:28.874766+00:00,31215792,51.41
2025-05-23 06:49:43.884350+00:00,31230800,51.39
2025-05-23 06:49:58.889392+00:00,31245808,51.35
2025-05-23 06:50:13.891272+00:00,31260816,51.34
2025-05-23 06:50:28.892240+00:00,31275824,51.31
2025-05-23 06:50:43.909819+00:00,31290832,51.37
2025-05-23 06:50:58.913578+00:00,31305840,51.35
2025-05-23 06:51:13.918691+00:00,31320848,51.39
2025-05-23 06:51:28.921727+00:00,31335856,51.34
2025-05-23 06:51:43.927307+00:00,31350864,51.34
2025-05-23 06:51:58.947347+00:00,31365872,51.33
2025-05-23 06:52:13.954760+00:00,31380880,51.22
2025-05-23 06:52:28.960284+00:00,31395888,51.27
2025-05-23 06:52:43.970022+00:00,31410896,51.29
2025-05-23 06:52:58.971191+00:00,31425904,51.3
2025-05-23 06:53:13.984153+00:00,31440912,51.28
2025-05-23 06:53:28.991540+00:00,31455920,51.29
2025-05-23 06:53:43.998884+00:00,31470928,51.3
2025-05-23 06:53:59.006064+00:00,31485936,51.32
2025-05-23 06:54:14.012487+00:00,31500944,51.37
2025-05-23 06:54:29.013248+00:00,31515952,51.39
2025-05-23 06:54:44.026968+00:00,31530960,51.37
2025-05-23 06:54:59.032324+00:00,31545968,51.35
2025-05-23 06:55:14.039859+00:00,31560976,51.36
2025-05-23 06:55:29.043056+00:00,31575984,51.4
2025-05-23 06:55:44.055392+00:00,31590992,51.38
2025-05-23 06:55:59.050608+00:00,31606000,51.41
2025-05-23 06:56:14.068077+00:00,31621008,51.4
2025-05-23 06:56:29.075849+00:00,31636016,51.43
2025-05-23 06:56:44.084017+00:00,31651024,51.38
2025-05-23 06:56:59.089328+00:00,31666032,51.36
2025-05-23 06:57:14.096509+00:00,31681040,51.39
2025-05-23 06:57:29.104027+00:00,31696048,51.34
2025-05-23 06:57:44.109094+00:00,31711056,51.36
